"","variable","x_original","fit","upper","lower"
"1...1","week",2,-0.00663368073611363,0.0886430176212518,-0.101910379093479
"2...2","week",3,-0.00392984920582565,0.0809734804484996,-0.0888331788601509
"3...3","week",4,-0.00140877406498489,0.0739580429264662,-0.0767755910564359
"4...4","week",5,0.000714722788994711,0.0675201517477168,-0.0660907061697274
"5...5","week",6,0.00225678541206197,0.0614437536766689,-0.056930182852545
"6...6","week",7,0.00312632197650524,0.0554769727897941,-0.0492243288367836
"7...7","week",8,0.00335195912855767,0.0495008691783827,-0.0427969509212674
"8...8","week",9,0.00307423252539505,0.0436597658451752,-0.0375113007943851
"9...9","week",10,0.00250894515683031,0.0383566103317472,-0.0333387200180866
"10...10","week",11,0.00189280070109208,0.0340877059584075,-0.0303021045562233
"11...11","week",12,0.0014255049232159,0.031186916226805,-0.0283359063803732
"12...12","week",13,0.00122267151879365,0.0296477748088609,-0.0272024317712736
"13...13","week",14,0.00129093843815856,0.0291668789516285,-0.0265850020753114
"14...14","week",15,0.00153129597831764,0.0293317898393291,-0.0262691978826938
"15...15","week",16,0.00176993132862126,0.0297560897343527,-0.0262162270771101
"16...16","week",17,0.00180939666395719,0.0301042375439219,-0.0264854442160076
"17...17","week",18,0.00148806665331334,0.0300899197827863,-0.0271137864761596
"18...18","week",19,0.000733757461045799,0.0295198695729609,-0.0280523546508693
"19...19","week",20,-0.000401491425416315,0.0283688146381186,-0.0291717974889513
"20...20","week",21,-0.00173436833214645,0.0268193259047672,-0.0302880625690601
"21...21","week",22,-0.0029737126369218,0.0252191840634584,-0.031166609337302
"22...22","week",23,-0.00377032263175658,0.0239679017752123,-0.0315085470387255
"23...23","week",24,-0.00378310015949817,0.0233956031987535,-0.0309618035177499
"24...24","week",25,-0.00274773232000998,0.0237001990783438,-0.0291956637183637
"25...25","week",26,-0.0005334128103633,0.0249566659752664,-0.026023491595993
"26...26","week",27,0.00282437992912599,0.0271565991664537,-0.0215078393082017
"27...27","week",28,0.00712186834647528,0.0302272290305667,-0.0159834923376162
"28...28","week",29,0.0120158957600451,0.0340119894180678,-0.00998019789797752
"29...29","week",30,0.0170773063387502,0.0382421931018073,-0.00408758042430687
"30...30","week",31,0.0218571593291609,0.0425601319518423,0.00115418670647949
"31...31","week",32,0.0259516416122216,0.0466188847402153,0.00528439848422784
"32...32","week",33,0.0290522215188118,0.0501890017465669,0.00791544129105669
"33...33","week",34,0.0309712791216886,0.0531660324615514,0.00877652578182581
"34...34","week",35,0.0316392953390694,0.0554749167007194,0.00780367397741943
"35...35","week",36,0.03107633744675,0.0569908965978113,0.00516177829568863
"36...36","week",37,0.0293465128001638,0.0575620245761149,0.00113100102421258
"37...37","week",38,0.0265079110121319,0.0570838027470255,-0.00406798072276179
"38...38","week",39,0.0225714271992932,0.0555336438339717,-0.0103907894353853
"39...39","week",40,0.0174795417544714,0.0529281340006828,-0.01796905049174
"40...40","week",41,0.0111111378409217,0.0492379710063321,-0.0270156953244888
"41...41","week",42,0.0033118887320172,0.0443443351534224,-0.037720557689388
"42...42","week",43,-0.00605687985331198,0.0381045422298301,-0.0502183019364541
"43...43","week",44,-0.017063158102605,0.0305060764966055,-0.0646323927018154
"44...44","week",45,-0.0296579846438365,0.0218009934555281,-0.0811169627432011
"45...45","week",46,-0.0436523563178783,0.012504267330488,-0.0998089799662446
"46...46","week",47,-0.0587282405238808,0.00322705472392124,-0.120683535771683
"47...47","week",48,-0.0744890725123454,-0.00555001540066692,-0.143428129624024
"48...48","week",49,-0.0905489984590492,-0.0136085060000332,-0.167489490918065
"49...49","week",2,-0.00663368073611363,0.0886430176212518,-0.101910379093479
"50...50","week",3,-0.00392984920582565,0.0809734804484996,-0.0888331788601509
"51...51","week",4,-0.00140877406498489,0.0739580429264662,-0.0767755910564359
"52...52","week",5,0.000714722788994711,0.0675201517477168,-0.0660907061697274
"53...53","week",6,0.00225678541206197,0.0614437536766689,-0.056930182852545
"54...54","week",7,0.00312632197650524,0.0554769727897941,-0.0492243288367836
"55...55","week",8,0.00335195912855767,0.0495008691783827,-0.0427969509212674
"56...56","week",9,0.00307423252539505,0.0436597658451752,-0.0375113007943851
"57...57","week",10,0.00250894515683031,0.0383566103317472,-0.0333387200180866
"58...58","week",11,0.00189280070109208,0.0340877059584075,-0.0303021045562233
"59...59","week",12,0.0014255049232159,0.031186916226805,-0.0283359063803732
"60...60","week",13,0.00122267151879365,0.0296477748088609,-0.0272024317712736
"61...61","week",14,0.00129093843815856,0.0291668789516285,-0.0265850020753114
"62...62","week",15,0.00153129597831764,0.0293317898393291,-0.0262691978826938
"63...63","week",16,0.00176993132862126,0.0297560897343527,-0.0262162270771101
"64...64","week",17,0.00180939666395719,0.0301042375439219,-0.0264854442160076
"65...65","week",18,0.00148806665331334,0.0300899197827863,-0.0271137864761596
"66...66","week",19,0.000733757461045799,0.0295198695729609,-0.0280523546508693
"67...67","week",20,-0.000401491425416315,0.0283688146381186,-0.0291717974889513
"68...68","week",21,-0.00173436833214645,0.0268193259047672,-0.0302880625690601
"69...69","week",22,-0.0029737126369218,0.0252191840634584,-0.031166609337302
"70...70","week",23,-0.00377032263175658,0.0239679017752123,-0.0315085470387255
"71...71","week",24,-0.00378310015949817,0.0233956031987535,-0.0309618035177499
"72...72","week",25,-0.00274773232000998,0.0237001990783438,-0.0291956637183637
"73...73","week",26,-0.0005334128103633,0.0249566659752664,-0.026023491595993
"74...74","week",27,0.00282437992912599,0.0271565991664537,-0.0215078393082017
"75...75","week",28,0.00712186834647528,0.0302272290305667,-0.0159834923376162
"76...76","week",29,0.0120158957600451,0.0340119894180678,-0.00998019789797752
"77...77","week",30,0.0170773063387502,0.0382421931018073,-0.00408758042430687
"78...78","week",31,0.0218571593291609,0.0425601319518423,0.00115418670647949
"79...79","week",32,0.0259516416122216,0.0466188847402153,0.00528439848422784
"80...80","week",33,0.0290522215188118,0.0501890017465669,0.00791544129105669
"81...81","week",34,0.0309712791216886,0.0531660324615514,0.00877652578182581
"82...82","week",35,0.0316392953390694,0.0554749167007194,0.00780367397741943
"83...83","week",36,0.03107633744675,0.0569908965978113,0.00516177829568863
"84...84","week",37,0.0293465128001638,0.0575620245761149,0.00113100102421258
"85...85","week",38,0.0265079110121319,0.0570838027470255,-0.00406798072276179
"86...86","week",39,0.0225714271992932,0.0555336438339717,-0.0103907894353853
"87...87","week",40,0.0174795417544714,0.0529281340006828,-0.01796905049174
"88...88","week",41,0.0111111378409217,0.0492379710063321,-0.0270156953244888
"89...89","week",42,0.0033118887320172,0.0443443351534224,-0.037720557689388
"90...90","week",43,-0.00605687985331198,0.0381045422298301,-0.0502183019364541
"91...91","week",44,-0.017063158102605,0.0305060764966055,-0.0646323927018154
